Title,Image Link,Ingredients
Simson's Pantry Low Carb High Protein + Fibre Large Wraps 6 Pack,https://assets.woolworths.com.au/images/1005/240473.jpg?impolicy=wowsmkqiema&w=260&h=260,"Water, Wheat Flour (Thiamin, Folic Acid), Soy Protein Isolate, Modified Wheat Starch (1413), Vegetable Shortening, Wheat Gluten, Apple Cider Vinegar, Wheat Fibre, Baking Powder (Raising Agents (501, 541), Thickener (412), Iodised Salt, Emulsifier (471), Acidity Regulator (297), Preservatives (281, 200)."
Pauls Zymil Lactose Free Full Cream Long Life Milk 1l,https://assets.woolworths.com.au/images/1005/730998.jpg?impolicy=wowsmkqiema&w=260&h=260,"Full cream milk, enzyme (lactase)."
Real Foods Corn Thins Original 150g,https://assets.woolworths.com.au/images/1005/71422.jpg?impolicy=wowsmkqiema&w=260&h=260,"Maize (98%), Sunflower andor Canola Oil, Sea Salt"
Kellogg's Sultana Bran Breakfast Cereal 700g,https://assets.woolworths.com.au/images/1005/200413.jpg?impolicy=wowsmkqiema&w=260&h=260,"Whole wheat, sultanas (26%), wheat bran (26%), sugar, barley malt extract, salt, minerals (iron, zinc oxide), vitamins (niacin, vitamin B6, riboflavin,, folate). (Natural source of magnesium)"
Woolworths Spaghetti In Tomato Sauce 420g,https://assets.woolworths.com.au/images/1005/47681.jpg?impolicy=wowsmkqiema&w=260&h=260,"Water, Durum Wheat Semolina (40%) (Durum Wheat Semolina, Water), Tomato Paste (7%), Sugar, Thickener (Modified Maize Starch), Salt, Paprika Powder, Potato Starch, Onion Powder, Natural Extracts, Acidity Regulator (Citric Acid)"
Woolworths Thickened Cream 600ml,https://assets.woolworths.com.au/images/1005/48720.jpg?impolicy=wowsmkqiema&w=260&h=260,"Ingredients Not Found"
Woolworths Scotch Fingers 250g,https://assets.woolworths.com.au/images/1005/824408.jpg?impolicy=wowsmkqiema&w=260&h=260,"Wheat Flour, Vegetable Oil (Palm Oil, Antioxidant (307b)), Sugar, Wheat Starch, Sweetened Condensed Milk, Invert Sugar Syrup, Natural Butter Flavour (Milk), Salt, Whole Egg Powder, Raising Agents (Sodium Carbonate, 450, Ammonium Carbonate)"
Essentials Diced Tomatoes 400g,https://assets.woolworths.com.au/images/1005/311488.jpg?impolicy=wowsmkqiema&w=260&h=260,"Tomato (60%), Tomato Juice, Acidity Regulator (Citric Acid)"
La Gina Italian Tomato Paste Passata 680g,https://assets.woolworths.com.au/images/1005/63005.jpg?impolicy=wowsmkqiema&w=260&h=260,"Tomato (99%), Acidity Regulator (Citric Acid)"
Woolworths Creamed Rice 420g,https://assets.woolworths.com.au/images/1005/196943.jpg?impolicy=wowsmkqiema&w=260&h=260,"Rice (44%), Milk, Skim Milk, Sugar, Salt, Acidity Regulator (339), Natural Vanilla Flavour"
Pauls Zymil Lactose Free Low Fat Long Life Milk 1l,https://assets.woolworths.com.au/images/1005/146547.jpg?impolicy=wowsmkqiema&w=260&h=260,"Low fat milk (1.3% fat), ensyme (lactase)"
Woolworths White Rice Long Grain 1kg,https://assets.woolworths.com.au/images/1005/35007.jpg?impolicy=wowsmkqiema&w=260&h=260,"Long Grain Rice"
Woolworths Corn Sweet Kernels 420g,https://assets.woolworths.com.au/images/1005/218926.jpg?impolicy=wowsmkqiema&w=260&h=260,"Sweetcorn (62%), Water"
Woolworths Large Pasta Shells 500g,https://assets.woolworths.com.au/images/1005/745386.jpg?impolicy=wowsmkqiema&w=260&h=260,"Durum Wheat Semolina"
Pauls Zymil Lactose Free Low Fat Long Life Milk 1l,https://assets.woolworths.com.au/images/1005/146547.jpg?impolicy=wowsmkqiema&w=260&h=260,"Low fat milk (1.3% fat), ensyme (lactase)"
Pepsi Max Bottle 1.25l,https://assets.woolworths.com.au/images/1005/7985.jpg?impolicy=wowsmkqiema&w=260&h=260,"CARBONATED WATER, COLOUR (150d), SWEETENERS (951, 950), FOOD ACIDS (338, 330), PRESERVATIVE (211), CAFFEINE, FLAVOUR"
Woolworths Lemon Juice 500ml,https://assets.woolworths.com.au/images/1005/720424.jpg?impolicy=wowsmkqiema&w=260&h=260,"Reconstituted Lemon Juice (99.9%), Acidity Regulator (Ascorbic Acid), Natural Flavour, Preservative (223)"
Mutti Passata Tomato Puree Organic 560g,https://assets.woolworths.com.au/images/1005/81717.jpg?impolicy=wowsmkqiema&w=260&h=260,"Ingredients Not Found"
Zafarelli Bucatini Pasta No 6 500g,https://assets.woolworths.com.au/images/1005/9015.jpg?impolicy=wowsmkqiema&w=260&h=260,"Durum Wheat Semolina."
Maggi Side Dishes Creamy Cheese And Garlic Potato Bake 24g,https://assets.woolworths.com.au/images/1005/579719.jpg?impolicy=wowsmkqiema&w=260&h=260,"Our Ingredients:  Stock Powder: Corn Starch, Garlic (11%), Iodised Salt, Onion (4.2%), Potato Starch, Yeast Extract, Sugar, Vegetable Fat; Dairy: Cheese Powder (33.5%)  Milk  Solids, Cheese ( Milk , Salt, Starter Culture, Enzymes), Salt, Mineral Salt (339), Emulsifier (471); Spices:  Mustard  Seeds (4.4%), Black Pepper, Turmeric; Herb: Parsley (2%).              Contains Milk and Mustard.        May Contain Fish, Soy and Celery.               Gluten Free"
Masterfoods Teriyaki Marinade 375g,https://assets.woolworths.com.au/images/1005/57688.jpg?impolicy=wowsmkqiema&w=260&h=260,"Water, Sugar, Golden Syrup, Sherry 10% (contains Preservative (Sulphur Dioxide), Pears (from Paste), Salt, Thickeners (Modified Cornstarch, Xanthan Gum (contains Soy), Garlic 1.5%, Food Acid (Acetic), Ginger 1%, Vegetable Protein Extract, Sesame Oil 0.5%."
Csr Raw Sugar 2kg,https://assets.woolworths.com.au/images/1005/37391.jpg?impolicy=wowsmkqiema&w=260&h=260,"Cane Sugar"
Edgell Super Sweet Corn Kernels Super Sweet 420g,https://assets.woolworths.com.au/images/1005/44079.jpg?impolicy=wowsmkqiema&w=260&h=260,"Sweet corn (58%), water, sugar, salt."
Sanitarium So Good Long Life Unsweetened Almond Milk 1l,https://assets.woolworths.com.au/images/1005/744490.jpg?impolicy=wowsmkqiema&w=260&h=260,"Filtered Water, Ground Almonds (2.5%), Mineral (Calcium), Emulsifier (Sunflower Lecithin), Natural Flavour, Salt, Mineral Salt (Sodium Bicarbonate), Vegetable Gum (Gellan), Antioxidant (Ascorbic Acid), Vitamins (B12, B2, B1). All ingredients are of non-animal origin."
Woolworths Tangy Bbq Rice Crackers 100g,https://assets.woolworths.com.au/images/1005/331285.jpg?impolicy=wowsmkqiema&w=260&h=260,"Rice (90%), BBQ Seasoning (5.6%) (Sugar, Salt, Yeast Extract, Spices (Black Pepper, Onion, Tomato, Garlic), Soy Sauce Powder (Soy Sauce (Wheat), Maltodextrin (from Corn)), Natural Flavour (Milk), Anti Caking Agent (551), Acidity Regulator (Citric Acid), Paprika Extract), Sunflower Oil (Antioxidant (319))"
Woolworths Snapz Original 250g,https://assets.woolworths.com.au/images/1005/501408.jpg?impolicy=wowsmkqiema&w=260&h=260,"Wheat Flour, Vegetable Fats and Oils (Palm) (Antioxidant (307b)), Sugar, Malted Barley Extract, Salt, Raising Agent (500), Food Acid (330), Yeast"
Belvita Honey & Nut Breakfast Biscuits 6 Pack 300g,https://assets.woolworths.com.au/images/1005/738494.jpg?impolicy=wowsmkqiema&w=260&h=260,"Cereals 61% (Wheat Flour 41%, Wholegrain Cereals 20% (Wholegrain Oat Flakes 12%, Wholegrain Wheat Flour 3%, Wholegrain Barley Flour 3%, Wholegrain Spelt Flour 1%, Wholegrain Rye Flour 1%)), Sugar, Vegetable Oil (Contains Antioxidant (330)), Dark Chocolate Chips (3% (Sugar, Cocoa Mass, Vegetable Fat, Dextrose, Cocoa Butter, Emulsifier (Soy Lecithin))), Hazelnuts (2%), Honey (2%), Raising Agents (500, 503 504), Flavours, Salt, Food Acid (330), Emulsifier (Soy Lecithin)."
Pureharvest Organic Almond Milk 1l,https://assets.woolworths.com.au/images/1005/260099.jpg?impolicy=wowsmkqiema&w=260&h=260,"Filtered Water, Organic Activated Almonds (10%), Organic Rice Syrup, Sea Salt."
Golden Circle Blended Fruit Puree Strawberry Apple Pear Lunch Box Pouch 120g,https://assets.woolworths.com.au/images/1005/763159.jpg?impolicy=wowsmkqiema&w=260&h=260,"Apple Pure (85%), Strawberry Pure (10%), Pear Pure (4.6%), Vitamin C, Inulin (Dietary Fibre)."
Woolworths Free From Lactose Full Cream Milk 1l,https://assets.woolworths.com.au/images/1005/799811.jpg?impolicy=wowsmkqiema&w=260&h=260,"Ultra Heat Treated Homogenised Full Cream Milk, Enzyme (Lactase)"
Woolworths Pasta Spaghetti 500g,https://assets.woolworths.com.au/images/1005/346830.jpg?impolicy=wowsmkqiema&w=260&h=260,"Durum Wheat Semolina"
Heinz Classic Hearty Vegetable Soup Canned Ready Meals 535g,https://assets.woolworths.com.au/images/1005/750512.jpg?impolicy=wowsmkqiema&w=260&h=260,"Vegetables (52%) (Tomatoes, Potatoes, Carrots, Green Beans, Onion, Corn, Celery, Spinach), Water, Pearl Barley (6%) (Contains Traces of Wheat), Red Kidney Beans (4.2%), Maize Starch, Salt, Yeast Extract, Hydrolysed Vegetable Protein (Contains Soy), Spice, Natural Flavours."
Thins Chips Original 175g,https://assets.woolworths.com.au/images/1005/274324.jpg?impolicy=wowsmkqiema&w=260&h=260,"Potatoes, Vegetable Oil, Salt. "
Arnott's Mini Choc Chip Cookie Multipack Biscuits 7 Pack,https://assets.woolworths.com.au/images/1005/641534.jpg?impolicy=wowsmkqiema&w=260&h=260,"Wheat Flour, Chocolate Chips (24%) (Sugar, Cocoa Mass, Cocoa Butter, Natural Flavour, Emulsifier (Soy Lecithin)), Sugar, Vegetable Oil, Butter (Contains Milk), Desiccated Coconut, Skim Milk Powder, Baking Powder, Salt, Emulsifier (Soy Lecithin), Natural Flavour, Antioxidant (E307b From Soy)."
Edgell Corn Kernels Snack Packs Ready To Eat 125g X 4 Pack,https://assets.woolworths.com.au/images/1005/192816.jpg?impolicy=wowsmkqiema&w=260&h=260,"Sweet corn (58%), water, salt."
Golden Circle Blended Fruit Puree Strawberry Apple Pear Lunch Box Pouch 120g,https://assets.woolworths.com.au/images/1005/763159.jpg?impolicy=wowsmkqiema&w=260&h=260,"Apple Pure (85%), Strawberry Pure (10%), Pear Pure (4.6%), Vitamin C, Inulin (Dietary Fibre)."
Arnott's Salada Original Crispbreads 250g,https://assets.woolworths.com.au/images/1005/36019.jpg?impolicy=wowsmkqiema&w=260&h=260,"Wheat Flour, Vegetable Oil, Yeast, Baking Powder, Sugar, Malt Extract (From Barley)"
Spc Spaghetti Rich Tomato 420g,https://assets.woolworths.com.au/images/1005/187769.jpg?impolicy=wowsmkqiema&w=260&h=260,"Pasta (Wheat Flour) (50%), Rich Tomato Sauce Tomato Puree (34%), Water Sugar, Thickeners (1412, Maize Starch), Salt, Natural Flavours, Colour (160c), Vegetable Powder, Food Acid (Citric)"
Annalisa Diced Tomatoes Basil & Oregano 400g,https://assets.woolworths.com.au/images/1005/517467.jpg?impolicy=wowsmkqiema&w=260&h=260,"Diced Tomatoes (60%), Tomato Juice, Fresh Basil (1%), Salt, Oregano (0.04%). "
Woolworths Jasmine Rice 5kg,https://assets.woolworths.com.au/images/1005/601343.jpg?impolicy=wowsmkqiema&w=260&h=260,"Frangrant Thai Jasmine Rice"
Real Foods Corn Thins Sesame 150g,https://assets.woolworths.com.au/images/1005/113797.jpg?impolicy=wowsmkqiema&w=260&h=260,"Organic Maize (97%), Sesame (2%), Sea Salt (0.5%)"
Vetta Rural Aid Penne Pasta Value Pack 750g,https://assets.woolworths.com.au/images/1005/112440.jpg?impolicy=wowsmkqiema&w=260&h=260,"Australian durum wheat semolina."
Bellis Bar Apricot 45g,https://assets.woolworths.com.au/images/1005/79.jpg?impolicy=wowsmkqiema&w=260&h=260,"Sugar (Sugar, Corn Starch), Mixed Dried Fruits (25%) [Sultana, Pear, Apricots (16%), Pineapple, Preservative (220 Sulphites)], Glucose Syrup (From Maize), Whey Powder (Milk), Maltodextrin (From Maize), Coconut, Sustainable Palm Oil (Antioxidant (307), Food Acid (Citric Acid), Natural Apricot Flavour, Natural Colour (160b)."
Nutella Hazelnut Chocolate Spread With Breadsticks 48g,https://assets.woolworths.com.au/images/1005/869235.jpg?impolicy=wowsmkqiema&w=260&h=260,"HAZELNUT SPREAD WITH COCOA INGREDIENTS: SUGAR, VEGETABLE OIL (PALM*), HAZELNUTS (13%), SKIM MILK POWDER (8.7%), FAT-REDUCED COCOA POWDER (7.4%), EMULSIFIER (LECITHINS) (SOY), FLAVOURING (VANILLIN). TOTAL MILK SOLIDS: 8.7%. TOTAL COCOA SOLIDS: 7.4%. CONTAINS HAZELNUTS, MILK, SOY. BREADSTICKS INGREDIENTS: WHEAT FLOUR, VEGETABLE OIL (PALM*), SALT, BARLEY MALT EXTRACT, BAKER'S YEAST. CONTAINS GLUTEN. MAY BE PRESENT: SOY, MUSTARD *Sustainable and segregated certified palm oil."
Madura English Breakfast Tea Bags 50 Pack 100g,https://assets.woolworths.com.au/images/1005/65702.jpg?impolicy=wowsmkqiema&w=260&h=260,"Black Tea"
Vitasoy Prebiotic Almond Milk 1l,https://assets.woolworths.com.au/images/1005/83287.jpg?impolicy=wowsmkqiema&w=260&h=260,"Filtered water, whole almonds (min. 3.8%), prebiotic fibre (chicory root fibre), mineral (calcium phosphate), emulsifier (sunflower lecithin), sea salt, natural flavour, vegetable gum (gellan)."
Woolworths Salted Mixed Nuts 375g,https://assets.woolworths.com.au/images/1005/773623.jpg?impolicy=wowsmkqiema&w=260&h=260,"Mixed Nuts (96%) (Peanuts, Almonds, Cashews, Macadamias (3.8%), Hazelnuts, Pistachios (2.4%)), Sunflower Oil, Sea Salt (1%)."
Always Fresh Cucumbers Sweet & Sour 680g,https://assets.woolworths.com.au/images/1005/47513.jpg?impolicy=wowsmkqiema&w=260&h=260,"Cucumbers (53%), Water, Sugar, Vinegar, Salt, Food Acid (260), Dill Seeds, Mustard Seeds, Mineral Salt (509), Flavour"
Woolworths Soy Milk 1l,https://assets.woolworths.com.au/images/1005/779130.jpg?impolicy=wowsmkqiema&w=260&h=260,"Water,
Soy
Protein (4.0%), Maltodextrin, Canola Oil, Sugar, Acidity Regulator (Phosphoric Acid, 526,Potassium Citrate, Magnesium Carbonate), Emulsifier (450), Mineral Salt (509), Vitamin Premix (Vitamin (Riboflavin,Vitamin A, Vitamin B12))."
Sunrice White Rice Premium Long Grain 1kg,https://assets.woolworths.com.au/images/1005/36493.jpg?impolicy=wowsmkqiema&w=260&h=260,"Long Grain White Rice."
Heinz Soup Of The Day Buttercup Pumpkin & Veg Soup Pouch 430g,https://assets.woolworths.com.au/images/1005/750320.jpg?impolicy=wowsmkqiema&w=260&h=260,"Vegetables (52%) Buttercup Pumpkin (41%), Sweet Potato, Carrots, Potatoes, Water, Milk, Cornflour, Salt, Brown Sugar, Cream (Milk), Natural Flavours, Yeast Extract, Garlic Paste, Spice.  Contains: Milk."
Continental Vegetable Liquid Stock Vegetable Stock 1l,https://assets.woolworths.com.au/images/1005/678656.jpg?impolicy=wowsmkqiema&w=260&h=260,"Vegetable stock (97%) water, vegetables (0.5%) (carrot, onion, garlic, leek), herbs, spices, sugar, salt, yeast extract, Flavours."
Vitasoy Almond Milk Unsweetened 1l,https://assets.woolworths.com.au/images/1005/926885.jpg?impolicy=wowsmkqiema&w=260&h=260,"Filtered Water, Whole Almonds (Min. 3.8%), Mineral (Calcium Phosphate), Emulsifier (Sunflower Lecithin), Sea Salt, Natural Flavour, Vegetable Gum (Gellan)."
Real Foods Corn Thins Tasty Cheese 125g,https://assets.woolworths.com.au/images/1005/747180.jpg?impolicy=wowsmkqiema&w=260&h=260,"Maize (64%), Rice , Seasoning (Milk Solids, Salt, Natural Flavour (contains Milk and Soy), Sugar, Cheese Powder (Milk), Yeast Extract, Onion Powder, Anti-Caking Agent (551), Spice Extracts, Sunflower Oil), Vegetable Oil*, Herb Extract.
* No palm oil added"
Massel 7's Chicken Cubes Gluten Free 35g,https://assets.woolworths.com.au/images/1005/794766.jpg?impolicy=wowsmkqiema&w=260&h=260,"Southern Ocean Sea Salt, Maize Maltodextrin, Cane Sugar, Natural Vegetable Flavours, Yeast Extract, Canola Oil, Extra Virgin Olive Oil, Turmeric."
Kan Tong Sweet & Sour Stir Fry Cooking Sauce 515g,https://assets.woolworths.com.au/images/1005/758384.jpg?impolicy=wowsmkqiema&w=260&h=260,"Vegetables 23% (Onion, Capsicum, Carrot), Water, Tomatoes (from Paste), Sugar, Pineapple Juice 13% (from Concentrate), Vinegar, Pineapple 5%, Thickener (Modified Cornstarch), Salt, Colour (Paprika Oleoresin), Ginger, Coriander Seed, Clove, Pepper, Tamarind Paste, Chilli."
Dolmio Extra Garden Vegetables Tomato Pasta Sauce 500g,https://assets.woolworths.com.au/images/1005/758313.jpg?impolicy=wowsmkqiema&w=260&h=260,"Tomatoes (from Paste, Food Acid (Citric)) 80%, Zucchini 5%, Capsicum 4%, Garlic, Sugar, Celery 2%, Thickener (Modified Cornstarch), Salt, Flavour, Food Acid (Citric)."
Woolworths Minced Garlic 500g,https://assets.woolworths.com.au/images/1005/77385.jpg?impolicy=wowsmkqiema&w=260&h=260,"Rehydrated Garlic (99%) (Water, Dried Garlic), Acidity Regulator (Citric Acid)"
Woolworths Pasta Fettuccine 500g,https://assets.woolworths.com.au/images/1005/346835.jpg?impolicy=wowsmkqiema&w=260&h=260,"Durum Wheat Semolina"
Coca - Cola Classic  Soft Drink Bottle 1.25l,https://assets.woolworths.com.au/images/1005/32731.jpg?impolicy=wowsmkqiema&w=260&h=260,"Carbonated Water, Sugar, Colour (150d), Food Acid (338), Flavour, Caffeine."
Mutti Cherry Tomatoes 400g,https://assets.woolworths.com.au/images/1005/290300.jpg?impolicy=wowsmkqiema&w=260&h=260,"Cherry Tomatoes, Tomato Juice."
Essentials Chunky Pasta Sauce 700g,https://assets.woolworths.com.au/images/1005/326.jpg?impolicy=wowsmkqiema&w=260&h=260,"Tomatoes (80%) (Puree, Diced), Diced Onion (16%), Sugar, Canola Oil, Garlic, Salt, Herbs and Spices, Acidity Regulator (Citric Acid)"
Nestle Sustagen Dutch Chocolate Ready To Drink 3x250ml,https://assets.woolworths.com.au/images/1005/211476.jpg?impolicy=wowsmkqiema&w=260&h=260,"Water, Non Fat Milk Solids (12%), Sugar, Dried Glucose Syrup, Maltodextrin, Low Eruric Acid Rapeseed Oil, Milk Protein Concentrate, Cocoa (0.5%), Stabilizers (452, 460, 407, 466), Minerals (Magnesium Carbonate, Sodium Citrate, Potassium Phosphate, Ferrous Sulphate, Zinc Sulphate), Emulsifier ( Soy Lecithin), Vitamins (C, E, Niacinamide, B6, A, B1, Folic Acid, B2, B12), Flavour.Contains Milk and Soy.  Gluten Free"
Woolworths Lentils No Added Salt 420g,https://assets.woolworths.com.au/images/1005/259400.jpg?impolicy=wowsmkqiema&w=260&h=260,"Lentils (60%), Water, Firming Agent (Calcium Chloride), Antioxidant (Ascorbic Acid)"
Woolworths Black Beans No Added Salt Can 420g,https://assets.woolworths.com.au/images/1005/663581.jpg?impolicy=wowsmkqiema&w=260&h=260,"Black Beans (60%), Water, Firming Agent (Calcium Chloride)"
Woolworths Lemon Juice 250ml,https://assets.woolworths.com.au/images/1005/720423.jpg?impolicy=wowsmkqiema&w=260&h=260,"Reconstituted Lemon Juice (99.9%), Acidity Regulator (Ascorbic Acid), Natural Flavour, Preservative (223)"
Arnott's Cruskits 98% Fat Free Crispbreads 125g,https://assets.woolworths.com.au/images/1005/197462.jpg?impolicy=wowsmkqiema&w=260&h=260,"Wheat Flour, Rye Meal, Wheat Starch, Sugar, Milk Solids, Salt."
Edgell Four Bean Mix Picked & Soaked Canned Legumes 400g,https://assets.woolworths.com.au/images/1005/584285.jpg?impolicy=wowsmkqiema&w=260&h=260,"Legumes (60%) (butter beans, chick peas, red kidney beans (small red variety), baby lima beans), water, sugar, salt, firming agent (509), food acid (acetic acid). *May be present
 lupin, soy, wheat and barley.*"
Barilla Pasta Penne Rigate 500g,https://assets.woolworths.com.au/images/1005/83764.jpg?impolicy=wowsmkqiema&w=260&h=260,"durum wheat semolina, water."
Table Of Plenty Milk Chocolate Snack Pack 84g,https://assets.woolworths.com.au/images/1005/505443.jpg?impolicy=wowsmkqiema&w=260&h=260,"Dark Chocolate 60% (contains Sugar, Cocoa Mass, Cocoa Butter, Emulsifier (Soy Lecithin), Natural Vanilla Flavour), Wholegrain Rice 40%."
Woolworths Cranberries 150g,https://assets.woolworths.com.au/images/1005/726369.jpg?impolicy=wowsmkqiema&w=260&h=260,"Dried Cranberries (Cranberries (minimum 55%), Sugar, Sunflower Oil)"
Maggi Dry Recipe Bases Beef Goulash Recipe Base 33g,https://assets.woolworths.com.au/images/1005/446483.jpg?impolicy=wowsmkqiema&w=260&h=260,"Our Ingredients:  Stock Powder: Corn Starch, Sugar, Salt, Corn Seasoning, Onion (4.8%), Potato Starch, Vegetable Oil, Garlic (0.3%); Vegetable: Tomato; Spices: Paprika (5%), Chilli, White Pepper; Herb: Parsley (2.2%).              May Contain Fish, Milk, Soy, Mustard, Celery."
Arnott's Salada Original Crispbreads 250g,https://assets.woolworths.com.au/images/1005/36019.jpg?impolicy=wowsmkqiema&w=260&h=260,"Wheat Flour, Vegetable Oil, Yeast, Baking Powder, Sugar, Malt Extract (From Barley)"
Spc Spaghetti Rich Tomato 420g,https://assets.woolworths.com.au/images/1005/187769.jpg?impolicy=wowsmkqiema&w=260&h=260,"Pasta (Wheat Flour) (50%), Rich Tomato Sauce Tomato Puree (34%), Water Sugar, Thickeners (1412, Maize Starch), Salt, Natural Flavours, Colour (160c), Vegetable Powder, Food Acid (Citric)"
Annalisa Diced Tomatoes Basil & Oregano 400g,https://assets.woolworths.com.au/images/1005/517467.jpg?impolicy=wowsmkqiema&w=260&h=260,"Diced Tomatoes (60%), Tomato Juice, Fresh Basil (1%), Salt, Oregano (0.04%). "
Woolworths Jasmine Rice 5kg,https://assets.woolworths.com.au/images/1005/601343.jpg?impolicy=wowsmkqiema&w=260&h=260,"Frangrant Thai Jasmine Rice"
Real Foods Corn Thins Sesame 150g,https://assets.woolworths.com.au/images/1005/113797.jpg?impolicy=wowsmkqiema&w=260&h=260,"Organic Maize (97%), Sesame (2%), Sea Salt (0.5%)"
Vetta Rural Aid Penne Pasta Value Pack 750g,https://assets.woolworths.com.au/images/1005/112440.jpg?impolicy=wowsmkqiema&w=260&h=260,"Australian durum wheat semolina."
Bellis Bar Apricot 45g,https://assets.woolworths.com.au/images/1005/79.jpg?impolicy=wowsmkqiema&w=260&h=260,"Sugar (Sugar, Corn Starch), Mixed Dried Fruits (25%) [Sultana, Pear, Apricots (16%), Pineapple, Preservative (220 Sulphites)], Glucose Syrup (From Maize), Whey Powder (Milk), Maltodextrin (From Maize), Coconut, Sustainable Palm Oil (Antioxidant (307), Food Acid (Citric Acid), Natural Apricot Flavour, Natural Colour (160b)."
Nutella Hazelnut Chocolate Spread With Breadsticks 48g,https://assets.woolworths.com.au/images/1005/869235.jpg?impolicy=wowsmkqiema&w=260&h=260,"HAZELNUT SPREAD WITH COCOA INGREDIENTS: SUGAR, VEGETABLE OIL (PALM*), HAZELNUTS (13%), SKIM MILK POWDER (8.7%), FAT-REDUCED COCOA POWDER (7.4%), EMULSIFIER (LECITHINS) (SOY), FLAVOURING (VANILLIN). TOTAL MILK SOLIDS: 8.7%. TOTAL COCOA SOLIDS: 7.4%. CONTAINS HAZELNUTS, MILK, SOY. BREADSTICKS INGREDIENTS: WHEAT FLOUR, VEGETABLE OIL (PALM*), SALT, BARLEY MALT EXTRACT, BAKER'S YEAST. CONTAINS GLUTEN. MAY BE PRESENT: SOY, MUSTARD *Sustainable and segregated certified palm oil."
Madura English Breakfast Tea Bags 50 Pack 100g,https://assets.woolworths.com.au/images/1005/65702.jpg?impolicy=wowsmkqiema&w=260&h=260,"Black Tea"
Vitasoy Prebiotic Almond Milk 1l,https://assets.woolworths.com.au/images/1005/83287.jpg?impolicy=wowsmkqiema&w=260&h=260,"Filtered water, whole almonds (min. 3.8%), prebiotic fibre (chicory root fibre), mineral (calcium phosphate), emulsifier (sunflower lecithin), sea salt, natural flavour, vegetable gum (gellan)."
